,Organization Name,Founders,Founding Date,Closing Date,Industry,Funding,HQ Location,Employees,About/Description,Slug,Crunchbase Img
68,Valocor,Julia Levy,2008,2010,biotechnology,1 investor,"Vancouver, British Columbia, Canada",10-Jan,"Valocor Therapeutics, Inc., a clinical stage biotech company, develops new therapies to treat dermatological conditions with unmet medical",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1496300181/vxpnjqhxavmdgwvfqud9.png"
69,Hubba,Ben Zifkin,Jan-11,Feb-21,"B2B, brand marketing, E-commerce, machine learning, SaaS, software",61.4M,"Toronto, Ontario, Canada",11-50,Hubba is a software company that uses a combination of machine learning and personal curation to match brands with buyers.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397196315/ead6a7a33ab2a6a7ea53f1bc7eb11dee.png"
70,Wattage,"Brett Hagman, Jeremy Bell, Peter Nitsch",2014,05-Mar-15,"3D printing, consumer electronics, software, e-commerce",200K,"Toronto, Ontario, Canada",51-100,An online platform that makes creating hardware easy.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1410774118/grjyolhltgr2zlley8li.jpg"
71,Millennial Esports,Alex Igelman,2011,2019,"broadcasting, eSports, sports, video games",19.5M,"Toronto, Ontario, Canada",11-50,Millennial Esports is a vertically integrated mobile gaming publisher that provides solutions related to gaming technology.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1493293527/dpsb5qtratbksqvdenvm.png"
72,Control Mobile,Kathryn Loewen,05-May-14,,"apps, e-commerce, IT, fintech, SaaS, software",1.2M,"Vancouver, British Columbia, Canada",11-50,"Control Mobile offers payment analytics and alerts platform for SaaS, subscription, and commerce businesses.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mik0uthen0qorm358z0q"
73,Bex,Jesse Heaslip,2011,,"accounting, bitcoin, software",1.1M,"Vancouver, British Columbia, Canada",10-Jan,Bex.io develops a global network to proliferate white label bitcoin exchanges.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/peashktilocxehbsnjzl"
74,Wantoo,,2015,,"apps, internet, software ",500K,"Vancouver, British Columbia, Canada",10-Jan,"Wantoo offers a cloud-based platform that enables businesses to capture, analyze, and act on feedback provided by their team or customers.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1447131751/irkbwhc9irsjn9xssgur.png"
75,KarmaHire,"James Clift, Thomas Zhou",2011,,"employment, HR, software",155K,"Vancouver, British Columbia, Canada",11-50,KarmaHire is an online recruitment platform providing companies with a complete software suite to help them hire employees faster.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397183926/801966236674056044ffdac4b0431d15.png"
76,Sqwrl Collective Inc.,"Josh Perrin, Marc d'Entremont, Wayne Guilderson",01-Mar-12,2015,"e-commerce, online portals",200K,"Vancouver, British Columbia, Canada",10-Jan,"Sqwrl is a Vancouver-based technology startup, connecting collectors with collectibles by developing a comprehensive online solution for everything collectible.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1418703566/a8xmscf3taojgotk80yh.png"
77,Firebird,"Alexander Somjen, Colin J.E. Lupton, Jonathan Holtby, Stephen Lee",01-Jan-15,31-Aug-16,"AI, IT, quantum computing, machine learning, software",65K,"Toronto, Ontario, Canada",10-Jan,"Firebird is a quantum machine intelligence company, building machine learning software for the most advanced computers on the planet.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1430340235/nphriy3ncvztghfae80x.png"
78,RAUR,"Dima Yashkir, Kevin Kliman, Ryan Renna",01-Oct-12,19-Oct-15,"audio, mobile, news, real time",300K,"Toronto, Ontario, Canada",10-Jan,RAUR is a web-based social publishing platform for podcasts.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397181976/427fa154da4e72ba4dd5753ae7f582f5.png"
79,Hyperblock Technologies Corp.,,2017,2019,"blockchain, cryptocurrency",509.4K,"Toronto, Ontario, Canada",10-Jan,Hyperblock Technologies Corp. operates as a cryptocurrency mining company.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ozgpzm7rjkkzx13tqjvs"
80,Quid,"Kevin McCall, Mohit Cheppudira",Sep-10,30-Mar-20,"blockchain, fintech, cloud computing",1.8M,"Toronto, Ontario, Canada",10-Jan,QUID is a micropayment processor that makes it easy to accept online payments as small as a fraction of a penny.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hnw2ctawkgcjkepzjpgw"
81,Koronis,,2013,23-Apr-16,"medical software, health care",,"Winnipeg, Manitoba, Canada",10-Jan,MedLinx is designed to capture the nearly 70 per cent of hospital-patient information that currently is not recorded in the patient files.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1453443275/ey33fv1sze4gz3e9ue3z.png"
82,IDYIA Innovations,,,,,,,,,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1493356769/vrzzcn1gqxev3ymblzef.png"
83,"Anki, Inc","Boris Sofman, Mark Palatucci, and Hanns Tappeiner",05-Jan-10,01-Apr-19,"Robotics, Artificial Intelligence,  Consumer Electronics, Machine Learning ",259.5M,"San Francisco, California, United States  ",,"Anki was a robotics and artificial intelligence startup that put robotics technology in products for children. Anki programmed physical objects to be intelligent and adaptable in the physical world, and aimed to solve the problems of positioning, reasoning, and execution in artificial intelligence and robotics. ",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/myadbdbjck3slpi2lwh0"
84,DriverUp Corp.,"Brett Beebe, Sam Ellis",2012,2019,"Business Development, Financial Services, FinTech, Lending, Marketplace",70M,"Dallas, Texas, United States",11-50,DriverUp is the first online auto lending marketplace for accredited investors.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1424711035/sxcmru6ozx2sj0dsrfly.png"
85,Kahuna Inc.,"Adam Marchick, Jacob Taylor",2011,10-Jan-19,"Analytics, Classifieds, E-Commerce, Marketing Automation, Marketplace, Mobile, Software",64.4M,"Redwood City, California, United States",51-100,Kahuna helps the world's leading digital marketplace brands deliver highly personalized experiences to every buyer and seller,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1421432487/fq4nq7ubvtiqnk6j7yad.png"
86,Arivale,"Clayton Lewis, Leroy Hood, Nathan Price",2014,21-May-19,"Fitness, Health Care, Wellness",52.6M,"Seattle, Washington, United States",11-50,Arivale provides individuals a scientific path to optimize wellness and avoid disease for a life filled with joyful moments.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1436334084/cwrho1y88fzckb8wg8sw.png"
87,Amiloom,Anders Hsi,01-Dec,October 1 2014,"Health care, Information technology, software",,"San Francisco, California, United States  ",10-Jan,Device forms network of people with common friends,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1459928285/y8pwypmsiefnua9g9eb3.png"
88,Backfence,Mark Potts,January 1 2004,July 1 2007,"Communities, Internet, web hosting",3M,"Mclean, Virginia, United States",11-50,create hyper-local community sites,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1498900695/f94m4zasparxwzz2yd7k.png"
89,Yik Yak,"Brooks Buffington, Tyler Droll, Will Jamieson",October 10 2013,May-17,"Apps, Social media, social network",75M,"Atlanta, Georgia, United States",11-50,Yik Yak is a location-based social network that helps people discover their local community,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1455559319/kidfmw7mf4citirwzu6r.png"
90,Gumroad,Sahil Lavingia,January 1 2011,January 1 2019,"Content, Creative Agency, E-commerce",8.1M,"San Francisco, California, United States  ",11-50,Owns and operates an online service through which users can buy and sell digital goods such as design templates and source codes.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397181886/8a2fc460fe7d0202aabecc4db218aae3.png"
91,Juicero,Doug Evans,Jan 1 2013,September 1 2017,"Food and Beverage, Nutrition, Organic Food",118.5M,"San Francisco, California, United States  ",101-250,Inventor of the first home cold-pressed juicing system,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1484684110/uv91ikhqvlcmicb9oq4y.png"
92,Next Step Living,Geoff Chapin,March 1 2008,March 19 2016,"Energy, Energy Efficiency, Home Renovation, Renewable Energy",88.6M,"Boston, Massachusetts, United States",101-250,Provides home energy evaluations and solutions for individuals and organizations,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1398687615/vb2jpnnyowlxadjrpcar.jpg"
93,Shyp,"Jack Smith, Joshua Scott, Kevin Gibbon",July 1 2013,March 27 2018,"Shipping, Delivery, Logistics, Shipping and fulfilment",62.1M,"San Francisco, California, United States",11-50,Provides shipping services that ranges from picking-up the package to delivering it to the destination.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1446139724/qc4qfcojjdiiqwiewzyl.png"
94,Quibi," Jeffrey Katzenberg, Meg Whitman",01-Jan-18,22-Oct-20," Media and Entertainment, TV, TV Production","$1,750,000,000"," Los Angeles, California, United States",251-500,Quibi is a media company developing short-form media content designed for smartphones.,https://www.crunchbase.com/organization/quibi,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/job3znxob5klkejr3tqs"
95,Remedy," John Schulte, Marija Ringwelski (Sedlar), Victor Echevarria",2015,," Clinical Trials, Health Diagnostics, Medical, Medical Device","$1,900,000"," San Francisco, California, United States",11-50,"Remedy protects people from overcharges that stem from medical bill errors and saves the average family over $1,000 per year.",https://www.crunchbase.com/organization/remedy-labs-inc,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1462219897/umn4vrymgneolpdssdso.png"
96,CardioDx,David Levison,2004,," Biotechnology, Genetics, Health Care, Health Diagnostics, Pharmaceutical","$317,261,831"," Redwood City, California, United States",51-100,CardioDx is a cardiovascular genomic diagnostics company providing clinicians with information to enhance patient care.,https://www.crunchbase.com/organization/cardiodx,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397191246/fb3f24666fac3b46a001eb8327961741.png"
97,koudai,Ke Wang,2010,," E-Commerce, Fashion, Mobile, Shopping","$368,000,000"," Beijing, Beijing, China",11-50,Koudai Shopping is intelligent mobile shopping software which recommends targeted products according to user’s personal style.,https://www.crunchbase.com/organization/koudai,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1414073194/pf28qtxchqfdnmnf0tci.png"
98,Repro," Akira Miki, Yusuke Hirata",01-Apr-14,,,"$37,087,494"," Tokyo, Tokyo, Japan",101-250,Repro is a end-to-end customers engagement platform for mobile and web apps.,https://www.crunchbase.com/organization/repro,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1430179772/b1cvcswvaysmadyks0ih.png"
99,Achaogen," Kevin Judice, Nathaniel David",2004,," Biotechnology, Health Care, Medical","$178,655,670"," South San Francisco, California, United States",10-Jan,"Achaogen, a biopharmaceutical company, discovers and develops broad-spectrum antibiotics to treat multi-drug resistant bacterial infections.",https://www.crunchbase.com/organization/achaogen,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397208043/cb017ce08f432e7b3e31b958fde1e8b8.png"
100,Quantopian," Jean Bredeche, John Fawcett",2011,," Financial Services, FinTech, Hedge Funds","$48,800,000"," Boston, Massachusetts, United States",11-50,Quantopian inspires talented people to write investment algos. Select authors may license their algos to us and get paid for performance.,https://www.crunchbase.com/organization/quantopian,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1457713120/kcqwqnb7pbogpcz2wrh2.png"
101,Family Office,Justin M. Weber,2017,," Commercial Real Estate, Education, Finance, Information Technology, Location Based Services, Real Estate, Service Industry","$500,000,000"," Chicago, Illinois, United States",11-50,"Family Office Trust Company       |        Private capital creating value via non-traditional partnerships, capital structures, and talent.",https://www.crunchbase.com/organization/family-office,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/n1umebucv8aopnyd1ci0"
102,Chrono Therapeutics,Guy DiPierro,2004,," Biotechnology, Medical, Therapeutics","$82,500,000"," Hayward, California, United States",11-50,Chrono Therapeutics was founded by Guy DiPierro to cause a paradigm shift in the way addictions and diseases are treated.,https://www.crunchbase.com/organization/chrono-therapeutics,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397192446/a14fa26f87f4d388a1f5472e20c83b4d.png"
103,Monsieur," Barry Givens, Eric Williams, Paul Judge",2012,," Hardware, Robotics, Software","$3,270,022"," Atlanta, Georgia, United States",10-Jan,"Monsieur is the leader in the automated bartending space and has been featured on CNN, TechCrunch, and Business Insider.",https://www.crunchbase.com/organization/monsieur,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397184725/72c27d6cfc17bc76bb33ca32051fd758.png"
104,Hingeto," Akintunde Ismail Maiyegun, Leandrew Robinson, Yaw Owusu Barimah",2015,," Crowdfunding, Fashion, Finance, Financial Services","$120,000"," Oakland, California, United States",10-Jan,Hingeto build powerful crowd funding stores for great brands.,https://www.crunchbase.com/organization/hingeto,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1458733564/fwapacarjmju70kuv3ad.png"
105,Livelike," Andre Lorenceau, Fabrice Lorenceau, Jérémie Lasnier, Miheer Walavalkar, Saswat Panda",05-Feb-15,," Broadcasting, Mobile Apps, Software, Sports, Virtual Reality","$14,781,338"," New York, New York, United States",11-50,LiveLike is an entertainment company that provides on-demand sports VR media content.,https://www.crunchbase.com/organization/livelike,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xquiopqcktzscynjztj2"
106,Lilith Games," Shuai Yuan, Xinwen Wang",10-May-13,," Gaming, Leisure, Mobile Apps","$484,803"," Jiading, Shanghai, China",251-500,Lilith Games is a mobile game developer.,https://www.crunchbase.com/organization/lilith-games,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ba4d5dc0ee03179f525a"
107,ClickFox," Nissim Harel, Tal Cohen",2000,," Analytics, Big Data, Computer, Software","$82,882,859"," Greenwood Village, Colorado, United States",101-250,"ClickFox offers customer journey solutions, enabling companies to tells the story of what customers are experiencing.",https://www.crunchbase.com/organization/click-fox,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hkwdttk2pu2qabact3pv"
108,Cleanly," Chen Atlas, Itay Forer, Tom Harari",01-Jun-13,,Laundry and Dry-cleaning,"$13,800,000"," Brooklyn, New York, United States",101-250,Cleanly creates an alternative to their clients typical laundry and dry cleaning experience.,https://www.crunchbase.com/organization/cleanly,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bgn9mxheucyyrmerzxqe"
109,Partnered," Baldwin Cunningham, David Matthews",01-Jan-18,," CRM, Professional Networking, Sales Automation","$200,000"," San Francisco, California, United States",11-50,Partnered provides sponsorship management solutions.,https://www.crunchbase.com/organization/partnered,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397188020/9d3aa22b38ec79966a1b380003a3d6a6.png"
110,Shyp," Jack Smith, Joshua Scott, Kevin Gibbon",01-Jul-13,27-Mar-18," Delivery, Logistics, Shipping","$62,100,000"," San Francisco, California, United States",11-50,Shyp provides shipping services that ranges from picking-up the package to delivering it to the destination.,https://www.crunchbase.com/organization/shyp,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1446139724/qc4qfcojjdiiqwiewzyl.png"
111,Stayzilla," Rupal Yogendra, Sachit Singhi, Yogendra Vasupal",2005,24-Feb-17," Hotel, Leisure, Tourism, Travel","$34,000,000"," Chennai, Tamil Nadu, India",251-500,Stayzilla is an online platform that enables individuals to research and reserve value hotels across India.,https://www.crunchbase.com/organization/stayzilla,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397189632/86e8737e9867b5c1846546f9dba20551.png"
112,Sentient Technologies," Adam Cheyer, Antoine Blondeau, Babak Hodjat, Jeff Holman, Peter Harrigan",2008,," Artificial Intelligence, Digital Marketing, Machine Learning, Software, Trading Platform","$174,380,450"," San Francisco, California, United States",10-Jan,Sentient Technologies is the world’s leading artificial intelligence company specializing in evolutionary intelligence.,https://www.crunchbase.com/organization/sentient,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/iewylxtwfxedeutjedzq"
113,Basis," Josh Chen, Lawrence Diao, Nader Al-Naji",2017,Dec-18," Cryptocurrency, Financial Services, FinTech","$133,000,000"," Hoboken, New Jersey, United States",10-Jan,Basis is a price-stable cryptocurrency with an algorithmic central bank.,https://www.crunchbase.com/organization/basecoin,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/qijspv7eqrne7aut7kgq"
114,Sitehands,JP Rosato,2016,," Communities, Delivery Service, Financial Services, Information Services, IT Management, Marketplace","$25,699,943"," Charlotte, North Carolina, United States",101-250,Sitehands is a global IT marketplace serving the largest global Financial Institutions and Fortune 500 companies.,https://www.crunchbase.com/organization/sitehands,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1498628703/jubwh4zvzyko2nrmqtpq.png"
115,Bitcasa," Joel Andren, Kevin Blackham, Tony Gauda",2011,," Cloud Computing, Cloud Data Services, Enterprise Software","$20,825,000"," San Mateo, California, United States",51-100,Bitcasa is the leader in secure and simple cloud storage solutions.,https://www.crunchbase.com/organization/bitcasa,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1423094114/bh6uts07kkska4tp3b7a.jpg"
116,Crowdfunder," Carlo D'Itri, Jean-Michel Arnoult, Rafe Furst",2012,," Crowdfunding, Finance, Financial Services, FinTech, Small and Medium Businesses, Venture Capital","$4,950,000"," Los Angeles, California, United States",11-50,Crowdfunder is an equity crowdfunding platform connecting investors with early-stage entrepreneurs.,https://www.crunchbase.com/organization/crowdfunder-2,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1505389407/vf3bwd5h5fy2tqd0puam.jpg"
117,Truss," Andrew Bokor, Bobby Goodman, Marshall Hudes, Thomas L. Smith",2016,," Data Visualization, Leasing, Marketplace, Real Estate, Rental","$24,400,000"," Deerfield, Illinois, United States",11-50,"Truss is an online marketplace to help small and medium sized business owners find, tour, and lease space.",https://www.crunchbase.com/organization/truss,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hlg9jrpoojg9nv4iyapv"
118,Bazaar," Julian Rodriguez, Yasser Toruno",2016,2020," B2B, Logistics, Small and Medium Businesses, Supply Chain Management","$1,300,000"," New York, New York, United States",10-Jan,Bazaar is New York City's largest online B2B food service distributor.,https://www.crunchbase.com/organization/bazaar-2,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/w3arvckrbzf2skxw2ps4"
119,Twiggle," Adi Avidor, Amir Konigsberg",2014,," Artificial Intelligence, E-Commerce, Machine Learning, Natural Language Processing, Product Search, Retail Technology, SaaS","$35,000,000"," Tel Aviv, Tel Aviv, Israel",11-50,"AI-Powered Search, Discovery, and Merchandising Solutions for E-Commerce",https://www.crunchbase.com/organization/twiggle,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1482762041/bvfedxnkst81ffrcdown.png"
120,Alta Motors," David Drennan, Derek Dorresteyn, Jeff Sand, Marc Fenigstein",Oct-10,18-Oct-18," Automotive, Electric Vehicle, Manufacturing","$43,800,000"," Brisbane, California, United States",11-50,Alta Motors designs and manufactures electric vehicle technology.,https://www.crunchbase.com/organization/brd-motorcycles,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/taeimqb7d1yhpqzn2grr"
121,Chloe + Isabel,Chantel Waterbury,2011,," E-Commerce, Fashion, Jewelry, Social Media","$32,450,000"," New York, New York, United States",501-1000,Chloe + Isabel is a social commerce jewelry company empowering and connecting women through their own social selling experience.,https://www.crunchbase.com/organization/chloe-isabel,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1403552469/mavgtbtuqcyti1szfjqh.jpg"
122,LoftSmart," Samuel Bernstein, Sundeep Kumar",2015,," Communities, Leasing, Real Estate, Rental, Search Engine, Tourism, Travel","$18,749,993"," New York, New York, United States",10-Jan,"LoftSmart helps young people discover and lease local rentals with transparency, ease, and simplicity.",https://www.crunchbase.com/organization/loftsmart,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1502739045/slo3qt9sadlflg2buxcr.png"
123,Juicero," Doug Evans, Katy Perry",2013,01-Sep-17," Food and Beverage, Nutrition, Organic Food","$118,500,000"," San Francisco, California, United States",101-250,Juicero is the inventor of the first home cold-pressed juicing system.,https://www.crunchbase.com/organization/juicero,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1484684110/uv91ikhqvlcmicb9oq4y.png"
124,WeLink," Cyrille de Nervaux, Nathan Chandra",20-Jan-12,," Cyber Security, Security, Social Media","$5,087,900"," San Jose, California, United States",10-Jan,WeLink is an advanced enterprise social media security platform.,https://www.crunchbase.com/organization/welink,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397190845/68cd613a122ddbf3612b5d68602c8c22.jpg"
125,Vector Launch," Eric Besnard, Jim Cantrell, John Garvey, Ken Sunshine, Shaun Coleman",01-Mar-16,2020," Aerospace, Space Travel","$102,750,000"," Tucson, Arizona, United States",101-250,Vector offers micro satellite launch services.,https://www.crunchbase.com/organization/vector-space,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/qo9giwzjjtpcm5qvymjy"
126,Petra Pharma," Lewis Cantley, Nathanael Gray",2016,Aug-20," Biotechnology, Health Care, Pharmaceutical, Therapeutics","$75,545,484"," New York, New York, United States",11-50,Petra Pharma is a clinical-stage pharmaceutical company developing a diverse portfolio of novel therapies.,https://www.crunchbase.com/organization/petra-pharma-corporation,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1465056922/vv7mjo99ovwby0xo8rvh.png"
127,Qordoba," May Habib, Waseem AlShikh",2015,29-Aug-20," Apps, Artificial Intelligence, Assistive Technology, Content, Content Marketing, Enterprise, Enterprise Applications, Internet, Natural Language Processing, Small and Medium Businesses","$21,500,000",,11-50,Qordoba is an AI writing assistant for businesses.,https://www.crunchbase.com/organization/qordoba,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/smrnbsdcaalfdpptnhmb"
128,RenRenChe,Jian Li,Apr-14,," Leasing, Peer to Peer, Recycling","$760,000,000"," Beijing, Beijing, China",501-1000,Renrenche.com is a Chinese peer-to-peer second-hand car trading platform.,https://www.crunchbase.com/organization/renrenche-com,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1506351615/u69gh2mhfn8mgjckkray.png"
129,Lantern," Alejandro Foung, Nicholas Letourneau",2012,2018," Fitness, Health Care, Wellness","$21,400,000"," San Francisco, California, United States",11-50,Lantern's personalized programs combine quick daily exercises with professional coaching to strengthen emotional well-being,https://www.crunchbase.com/organization/thriveon,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1414326330/racysrfo8edevedfdd9n.gif"
130,Nyotron," Nir Gaist, Ofer Gaist",2012,," Computer, Cyber Security, Network Security","$43,000,000"," Herzliya, Tel Aviv, Israel",51-100,Nyotron provides the industry’s first OS-Centric Positive Security to strengthen endpoint protection.,https://www.crunchbase.com/organization/nyotron,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1489498066/wuxcmbemtztwkog9zv7g.png"
131,Reflexion Health," Ravi Komatireddy, Spencer Hutchins",2012,2020," Health Care, Hospital, Medical, Medical Device, Software","$29,750,000"," San Diego, California, United States",51-100,"Reflexion Health, Inc. develops and publishes a prescription software for medical professionals and their patients. It offers a rehab",https://www.crunchbase.com/organization/reflexion-health,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397754021/c97505254a84d8009ffb0996b0f5b65e.png"
